Date,Close,High,Low,Open,Volume,SMA_Short,SMA_Long,RSI,Signal
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
2024-05-24,189.1,189.69,187.16,187.94,36294600,,,,0
2024-05-28,189.11,192.1,188.22,190.62,52280100,,,,0
2024-05-29,189.4,191.36,188.63,188.73,53068000,,,,0
2024-05-30,190.4,191.29,189.74,189.87,49947900,,,,0
2024-05-31,191.36,191.67,189.03,190.55,75158300,,,,0
2024-06-03,193.13,194.08,191.62,192.0,50080500,,,,0
2024-06-04,193.45,194.41,192.13,193.73,47471400,,,,0
2024-06-05,194.96,195.98,193.96,194.49,54156800,,,,0
2024-06-06,193.57,195.59,193.27,194.78,41181800,,,,0
2024-06-07,195.97,196.02,193.24,193.74,53103900,,,,0
2024-06-10,192.22,196.38,191.26,195.98,97262100,,,,0
2024-06-11,206.19,206.2,192.73,192.75,172373300,,,,0
2024-06-12,212.08,219.18,205.94,206.4,198134300,,,,0
2024-06-13,213.24,215.74,210.62,213.74,97862700,,,85.67575311262661,0
2024-06-14,211.5,214.17,210.32,212.85,70122700,,,80.2398170064912,0
2024-06-17,215.66,217.93,211.73,212.38,93728300,,,83.01455569737465,0
2024-06-18,213.29,217.61,212.01,216.58,79943300,,,76.42988538848574,0
2024-06-20,208.7,213.24,207.88,212.93,86172500,,,65.58053435805294,0
2024-06-21,206.52,210.9,206.15,209.41,246421400,,,61.141341553799684,0
2024-06-24,207.17,211.71,205.63,206.75,80727000,200.351,,61.967988189269086,0
2024-06-25,208.1,210.4,207.64,208.18,56713900,201.301,,63.17504739167959,0
2024-06-26,212.26,213.86,209.66,210.52,66213200,202.45850000000002,,68.05852601476522,0
2024-06-27,213.1,214.74,211.36,213.69,49772700,203.6435,,68.95382047583193,0
2024-06-28,209.64,215.06,209.32,214.77,82542700,204.60549999999998,,61.32855181281055,0
2024-07-01,215.74,216.5,210.93,211.1,60402900,205.8245,,68.03905194090572,0
2024-07-02,219.24,219.35,214.1,215.14,58046200,207.13000000000002,,71.13413251337023,0
2024-07-03,220.52,220.52,218.01,218.98,37369800,208.4835,,72.1946251769156,0
2024-07-05,225.29,225.4,220.62,220.62,60412400,210.0,,75.76747539496608,0
2024-07-08,226.76,226.79,222.21,226.03,59085900,211.65949999999998,,76.75860814823831,0
2024-07-09,227.62,228.33,225.32,226.87,48076100,213.24200000000002,,77.34247187293701,0
2024-07-10,231.9,232.0,228.18,228.23,62627700,215.22599999999997,,80.0311150922559,0
2024-07-11,226.51,231.31,224.72,230.31,64710600,216.24200000000002,,68.93677907503617,0
