Date,Close,High,Low,Open,Volume,SMA_Short,SMA_Long,RSI,Signal
,META,META,META,META,META,,,,
2024-08-29,516.85,525.81,514.32,517.68,8317400,515.4625,502.81880000000007,53.163740749906424,0
2024-08-30,519.93,522.15,513.84,519.97,9157500,517.1165,503.21,54.77134357503486,0
2024-09-03,510.41,524.1,507.27,518.27,12459100,518.9135,503.54879999999997,49.155214619320816,0
2024-09-04,511.38,515.22,502.74,504.73,8335200,519.8435,503.8246,49.72092020472546,0
2024-09-05,515.49,520.25,509.8,510.37,8640900,521.2365,503.9494,52.1502074952247,0
2024-09-06,498.95,523.19,496.93,520.5,14744500,520.77,503.6932,43.120843312559984,0
2024-09-09,503.45,509.98,500.75,504.82,11047800,520.1225000000001,503.3984,45.86699761591348,0
2024-09-10,503.45,512.82,498.71,506.82,9899000,519.5654999999999,503.4096,45.86699761591349,0
2024-09-11,510.48,511.76,494.29,505.67,10782500,518.7325000000001,503.5524,50.221382338176475,0
2024-09-12,524.21,525.32,513.86,515.68,11993300,518.6745,503.8736,57.42455427559787,0
2024-09-13,523.23,526.18,515.74,518.96,10321400,518.0405,504.16600000000005,56.79284853585587,0
2024-09-16,532.38,533.2,516.52,523.65,9527600,518.3585,504.0439999999999,61.09604028552744,0
2024-09-17,535.41,541.18,529.67,536.69,11690800,518.735,504.19379999999995,62.43041462943368,0
2024-09-18,537.04,543.28,533.0,536.16,10323500,519.3199999999999,504.36260000000004,63.16240406884508,0
2024-09-19,558.15,561.12,545.59,549.07,15647000,520.5405,504.86,71.03370725942247,0
2024-09-20,560.4,563.54,555.36,559.05,22066800,522.0345,505.84119999999996,71.7271395776269,0
2024-09-23,563.45,573.01,561.46,568.54,12830700,523.877,507.1592,72.68183468427233,0
2024-09-24,562.38,566.79,553.25,565.72,12993000,526.009,508.50980000000004,71.76628059254179,0
2024-09-25,567.35,575.9,562.76,563.09,16543400,528.49,510.087,73.43985803236576,0
2024-09-26,566.88,576.42,561.4,574.75,14400800,531.0635,512.2092,72.99917954490205,0
2024-09-27,566.4,569.87,563.55,569.13,9398400,533.5409999999999,514.0454,72.52057225780021,0
2024-09-30,571.47,573.71,563.84,566.74,12792300,536.118,515.9642,74.4277111974146,0
2024-10-01,575.49,582.05,569.13,577.0,15259300,539.3720000000001,517.7518,75.85839470722244,0
2024-10-02,571.84,575.02,568.38,573.89,6524700,542.3950000000001,519.4406,71.92381643245477,0
2024-10-03,581.78,582.37,567.77,569.18,11581000,545.7094999999999,521.8752,75.6307507790522,0
2024-10-04,594.93,595.84,580.44,582.74,14169500,550.5085,524.7296,79.48898078553482,0
2024-10-07,583.79,601.93,583.05,597.21,12014200,554.5255,527.116,69.45660810023493,0
2024-10-08,591.89,592.55,584.98,588.69,7857400,558.9475,529.6641999999999,72.20367145936815,0
2024-10-09,589.51,593.38,580.62,592.98,9529700,562.899,532.2152,70.2056502261555,0
2024-10-10,582.84,589.23,581.53,586.57,7740400,565.8305,534.4005999999999,64.79423631761375,0
2024-10-11,588.95,590.21,581.72,583.84,8587100,569.1165,536.2512,67.28208715683232,0
2024-10-14,589.42,599.08,588.96,593.21,8252000,571.9685,538.3026,67.47250276693413,0
2024-10-15,585.28,589.61,579.16,589.16,9564200,574.462,540.5187999999999,63.94235602774993,0
2024-10-16,575.81,581.09,573.06,580.42,11268400,576.4005,542.1794,56.64207744743314,0
2024-10-17,575.95,583.98,574.23,582.34,8701200,577.2905000000001,543.9458,56.72074457984681,0
2024-10-18,575.49,582.98,574.28,580.12,7694300,578.045,545.29,56.35891674725673,0
2024-10-21,574.19,576.26,568.15,575.05,8171900,578.5820000000001,546.4458,55.28556515481438,0
2024-10-22,581.02,582.54,571.15,573.32,8544500,579.5139999999999,547.7743999999999,59.635122322677084,0
2024-10-23,562.73,584.01,561.55,578.99,14248400,579.2830000000001,548.4861999999999,46.57075785357132,0
2024-10-24,566.82,567.92,560.57,566.17,7184700,579.28,549.3152,49.24826918309234,0
2024-10-25,572.28,580.31,570.75,572.96,11337900,579.574,550.0426,52.658972919837474,0
2024-10-28,577.18,582.76,573.15,581.01,10925100,579.8594999999999,551.0658,55.54625748690698,0
2024-10-29,592.27,592.66,574.43,579.17,13019100,580.6985,552.3535999999999,63.02513404355594,0
